Report_Date_as_MM_DD_YYYY,Market_and_Exchange_Names,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All
2026-01-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112999,31245,61422,76393
2026-01-06,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,5930,0,43030,8228
2026-01-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,113587,28648,59282,79834
2026-01-13,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,5968,0,31511,9549
2026-01-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,110040,29581,54607,83127
2026-01-20,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,4768,0,16155,31238
2026-01-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,109603,29669,56625,72704
2026-01-27,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,5992,221,33397,25811
2026-02-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108648,35616,55910,71835
2026-02-03,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,7307,223,20404,65859
2026-02-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,106994,34261,52653,65898
2026-02-10,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,7112,1255,18368,64806
2026-02-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,109427,35062,60606,77261
2026-02-17,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,7143,1903,21687,95074
2026-02-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107103,36942,52817,77074
2026-02-24,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,8898,227,18534,95567
2026-03-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,103914,35296,51162,83743
2026-03-03,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,10588,238,22133,130058
2026-03-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,101567,36049,47241,81185
2026-03-10,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,11206,238,19841,107606
2026-03-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,97885,36494,44996,86037
2026-03-17,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,11646,245,15666,111455
2026-03-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,92538,41080,45072,87698
2026-03-24,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,12118,243,20910,53379
2026-03-31,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,97734,39143,44716,86293
2026-03-31,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,9648,244,21289,66030
2026-04-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95595,37060,44348,89382
2026-04-07,MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,9776,244,17899,79957
