date,weekday,setup,tier,open_pos,result,pnl_pts,entry,exit,va_range,poc,vah,val
2024-03-25,Lunes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-18.4,18480.4,18462.1,91.8,18546.3,18572.3,18480.4
2024-03-26,Martes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-8.3,18574.3,18566.0,41.5,18598.3,18615.8,18574.3
2024-03-27,Miércoles,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-7.4,18548.5,18555.9,37.0,18522.0,18536.5,18499.6
2024-03-28,Jueves,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-32.8,18505.8,18473.1,28.5,18498.2,18505.8,18477.3
2024-03-28,Jueves,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-32.8,18477.3,18510.1,28.5,18498.2,18505.8,18477.3
2024-04-01,Lunes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-13.1,18533.4,18520.3,65.7,18575.4,18599.1,18533.4
2024-04-03,Miércoles,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,35.9,18301.6,18337.5,35.9,18274.1,18301.6,18265.7
2024-04-03,Miércoles,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-41.3,18265.7,18307.0,35.9,18274.1,18301.6,18265.7
2024-04-04,Jueves,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-12.2,18536.2,18548.5,61.1,18456.6,18476.2,18415.1
2024-04-05,Viernes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,64.8,18162.5,18227.2,64.8,18137.1,18162.5,18097.8
2024-04-08,Lunes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,WIN,35.4,18358.5,18323.1,44.4,18292.9,18323.1,18278.8
2024-04-09,Martes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-13.4,18362.0,18375.4,66.9,18310.5,18336.1,18269.2
2024-04-11,Jueves,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-19.9,18246.5,18266.4,99.4,18167.0,18210.8,18111.4
2024-04-12,Viernes,BOUNCE_FROM_VAL,TIER2_NORMAL,BELOW_VA,LOSS,-24.8,18325.3,18300.5,123.8,18419.8,18449.1,18325.3
2024-04-15,Lunes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-9.6,18331.2,18340.8,48.0,18273.8,18295.8,18247.8
2024-04-16,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,FLAT,-2.7,17893.2,17890.5,63.2,17870.0,17893.2,17830.0
2024-04-16,Martes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-72.7,17830.0,17902.7,63.2,17870.0,17893.2,17830.0
2024-04-17,Miércoles,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-88.3,17942.8,17854.5,76.8,17918.1,17942.8,17866.0
2024-04-17,Miércoles,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,76.8,17866.0,17789.2,76.8,17918.1,17942.8,17866.0
2024-04-18,Jueves,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-12.9,17685.0,17672.1,64.3,17711.8,17749.3,17685.0
2024-04-19,Viernes,FADE_GAP_UP,TIER2_NORMAL,ABOVE_VA,WIN,50.0,17517.0,17467.0,114.9,17434.7,17467.0,17352.1
2024-04-22,Lunes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-46.4,17298.1,17251.7,40.4,17277.9,17298.1,17257.7
2024-04-22,Lunes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-46.4,17257.7,17304.2,40.4,17277.9,17298.1,17257.7
