date,weekday,direction,sweep,uptrend,result,pnl_pts
2024-03-14,Jueves,BUY,BAJO,False,LOSS,-32.5
2024-03-14,Jueves,SELL,ALTO,False,WIN,41.8
2024-03-15,Viernes,SELL,ALTO,True,WIN,67.0
2024-03-19,Martes,BUY,BAJO,False,LOSS,-56.0
2024-03-19,Martes,SELL,ALTO,False,WIN,110.8
2024-03-20,Miércoles,SELL,ALTO,False,FLAT,20.1
2024-03-21,Jueves,SELL,ALTO,False,LOSS,-31.0
2024-03-22,Viernes,BUY,BAJO,True,FLAT,32.5
2024-03-22,Viernes,SELL,ALTO,True,WIN,80.5
2024-03-25,Lunes,BUY,BAJO,True,LOSS,-28.7
2024-03-26,Martes,SELL,ALTO,True,WIN,41.5
2024-03-27,Miércoles,SELL,ALTO,True,LOSS,-15.8
2024-03-28,Jueves,BUY,BAJO,True,LOSS,-18.4
2024-03-28,Jueves,SELL,ALTO,True,LOSS,-26.3
2024-04-01,Lunes,BUY,BAJO,False,LOSS,-48.2
2024-04-02,Martes,SELL,ALTO,False,WIN,97.7
2024-04-03,Miércoles,BUY,BAJO,False,LOSS,-20.1
2024-04-03,Miércoles,SELL,ALTO,False,WIN,35.9
2024-04-05,Viernes,BUY,BAJO,True,WIN,64.8
2024-04-05,Viernes,SELL,ALTO,True,LOSS,-33.3
2024-04-08,Lunes,BUY,BAJO,False,LOSS,-38.7
2024-04-08,Lunes,SELL,ALTO,False,WIN,44.4
2024-04-09,Martes,BUY,BAJO,False,WIN,66.9
2024-04-09,Martes,SELL,ALTO,False,LOSS,-42.5
2024-04-10,Miércoles,SELL,ALTO,True,WIN,238.4
2024-04-11,Jueves,BUY,BAJO,False,WIN,99.4
2024-04-11,Jueves,SELL,ALTO,False,LOSS,-63.2
2024-04-12,Viernes,BUY,BAJO,True,LOSS,-15.6
2024-04-15,Lunes,SELL,ALTO,False,WIN,48.0
2024-04-16,Martes,BUY,BAJO,False,WIN,63.2
2024-04-16,Martes,SELL,ALTO,False,WIN,63.2
2024-04-17,Miércoles,SELL,ALTO,False,LOSS,0.0
2024-04-18,Jueves,BUY,BAJO,False,LOSS,-25.7
2024-04-19,Viernes,SELL,ALTO,True,WIN,114.9
2024-04-22,Lunes,BUY,BAJO,False,WIN,40.4
2024-04-22,Lunes,SELL,ALTO,False,LOSS,-19.4
2024-04-23,Martes,SELL,ALTO,False,LOSS,-13.5
2024-04-24,Miércoles,BUY,BAJO,False,WIN,43.9
2024-04-24,Miércoles,SELL,ALTO,False,LOSS,-17.5
2024-04-25,Jueves,BUY,BAJO,True,LOSS,-81.5
2024-04-25,Jueves,SELL,ALTO,True,WIN,78.4
2024-04-26,Viernes,BUY,BAJO,True,LOSS,-25.0
2024-04-26,Viernes,SELL,ALTO,True,WIN,62.6
2024-04-29,Lunes,BUY,BAJO,False,LOSS,-28.2
2024-04-29,Lunes,SELL,ALTO,False,LOSS,-10.2
2024-04-30,Martes,BUY,BAJO,False,LOSS,-67.8
2024-05-01,Miércoles,BUY,BAJO,True,WIN,58.5
2024-05-02,Jueves,SELL,ALTO,True,WIN,50.1
2024-05-06,Lunes,SELL,ALTO,True,LOSS,-14.2
2024-05-07,Martes,BUY,BAJO,True,WIN,24.0
2024-05-07,Martes,SELL,ALTO,True,LOSS,-11.5
2024-05-08,Miércoles,BUY,BAJO,True,WIN,81.7
2024-05-08,Miércoles,SELL,ALTO,True,WIN,81.7
2024-05-09,Jueves,BUY,BAJO,True,WIN,41.9
2024-05-09,Jueves,SELL,ALTO,True,LOSS,-42.6
2024-05-10,Viernes,SELL,ALTO,True,LOSS,-3.7
2024-05-13,Lunes,SELL,ALTO,True,LOSS,-24.5
2024-05-14,Martes,BUY,BAJO,True,WIN,76.4
2024-05-14,Martes,SELL,ALTO,True,LOSS,0.0
2024-05-15,Miércoles,SELL,ALTO,True,LOSS,-80.5
2024-05-16,Jueves,BUY,BAJO,True,LOSS,-29.1
2024-05-16,Jueves,SELL,ALTO,True,WIN,19.4
2024-05-17,Viernes,BUY,BAJO,True,WIN,32.5
2024-05-17,Viernes,SELL,ALTO,True,WIN,32.5
2024-05-20,Lunes,BUY,BAJO,True,LOSS,-14.8
2024-05-20,Lunes,SELL,ALTO,True,LOSS,-14.8
2024-05-21,Martes,BUY,BAJO,True,LOSS,-26.7
2024-05-22,Miércoles,BUY,BAJO,True,WIN,28.5
2024-05-23,Jueves,SELL,ALTO,True,WIN,63.2
2024-05-24,Viernes,SELL,ALTO,True,LOSS,0.0
2024-05-28,Martes,BUY,BAJO,True,LOSS,-9.6
2024-05-28,Martes,SELL,ALTO,True,WIN,42.7
2024-05-29,Miércoles,BUY,BAJO,False,LOSS,0.0
2024-05-30,Jueves,SELL,ALTO,False,WIN,90.5
2024-05-31,Viernes,BUY,BAJO,True,WIN,91.6
2024-05-31,Viernes,SELL,ALTO,True,WIN,91.6
2024-06-03,Lunes,SELL,ALTO,False,LOSS,-19.2
2024-06-04,Martes,BUY,BAJO,True,WIN,73.6
2024-06-05,Miércoles,SELL,ALTO,True,LOSS,0.0
2024-06-06,Jueves,BUY,BAJO,True,LOSS,-24.3
2024-06-06,Jueves,SELL,ALTO,True,WIN,27.0
2024-06-07,Viernes,BUY,BAJO,True,FLAT,40.4
2024-06-07,Viernes,SELL,ALTO,True,WIN,103.4
2024-06-10,Lunes,BUY,BAJO,True,WIN,36.0
2024-06-11,Martes,BUY,BAJO,True,LOSS,-3.4
2024-06-13,Jueves,BUY,BAJO,True,WIN,53.6
2024-06-13,Jueves,SELL,ALTO,True,WIN,53.6
2024-06-14,Viernes,BUY,BAJO,True,WIN,115.0
2024-06-17,Lunes,SELL,ALTO,True,WIN,26.9
2024-06-18,Martes,SELL,ALTO,True,WIN,43.9
2024-06-21,Viernes,BUY,BAJO,True,WIN,65.9
2024-06-24,Lunes,BUY,BAJO,True,LOSS,-21.4
2024-06-24,Lunes,SELL,ALTO,True,WIN,64.2
2024-06-25,Martes,BUY,BAJO,True,WIN,62.5
2024-06-25,Martes,SELL,ALTO,True,LOSS,-10.0
2024-06-26,Miércoles,BUY,BAJO,True,LOSS,-61.7
2024-06-26,Miércoles,SELL,ALTO,True,WIN,70.1
2024-06-27,Jueves,SELL,ALTO,True,LOSS,-26.4
2024-06-28,Viernes,BUY,BAJO,True,LOSS,-16.0
2024-06-28,Viernes,SELL,ALTO,True,WIN,40.0
2024-07-01,Lunes,BUY,BAJO,True,LOSS,-33.4
2024-07-02,Martes,BUY,BAJO,True,WIN,42.5
2024-07-05,Viernes,BUY,BAJO,True,WIN,32.8
2024-07-05,Viernes,SELL,ALTO,True,LOSS,-64.0
2024-07-08,Lunes,SELL,ALTO,True,LOSS,-19.6
2024-07-09,Martes,BUY,BAJO,True,WIN,22.2
