Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2025-12-31 05:00:00+00:00,25615.25,25622.5,25615.25,25620.5,122
2025-12-31 05:15:00+00:00,25621.0,25623.75,25612.5,25615.75,384
2025-12-31 05:30:00+00:00,25612.25,25626.25,25608.25,25621.25,520
2025-12-31 05:45:00+00:00,25599.0,25613.0,25593.75,25612.0,782
2025-12-31 06:00:00+00:00,25603.5,25606.0,25593.0,25599.0,532
2025-12-31 06:15:00+00:00,25585.0,25603.75,25579.25,25602.75,1098
2025-12-31 06:30:00+00:00,25594.25,25595.75,25584.75,25585.0,447
2025-12-31 06:45:00+00:00,25596.0,25597.25,25588.5,25594.75,442
2025-12-31 07:00:00+00:00,25583.25,25602.25,25576.5,25595.5,1014
2025-12-31 07:15:00+00:00,25599.5,25600.5,25577.0,25583.75,885
2025-12-31 07:30:00+00:00,25604.75,25609.75,25598.5,25600.5,838
2025-12-31 07:45:00+00:00,25598.25,25607.25,25591.0,25606.0,566
2025-12-31 08:00:00+00:00,25589.0,25603.5,25584.0,25597.25,797
2025-12-31 08:15:00+00:00,25578.25,25592.0,25577.75,25588.25,964
2025-12-31 08:30:00+00:00,25567.5,25580.25,25552.5,25577.75,1922
2025-12-31 08:45:00+00:00,25559.0,25571.75,25558.25,25567.75,707
2025-12-31 09:00:00+00:00,25575.75,25584.75,25555.75,25558.5,1684
2025-12-31 09:15:00+00:00,25570.25,25583.25,25566.5,25576.5,883
2025-12-31 09:30:00+00:00,25571.75,25580.0,25568.25,25569.5,413
2025-12-31 09:45:00+00:00,25569.5,25577.75,25567.5,25572.5,475
2025-12-31 10:00:00+00:00,25574.5,25575.5,25561.0,25569.25,726
2025-12-31 10:15:00+00:00,25585.75,25587.0,25573.0,25573.75,404
2025-12-31 10:30:00+00:00,25582.0,25591.5,25576.0,25585.5,508
2025-12-31 10:45:00+00:00,25584.5,25585.75,25576.25,25581.75,312
2025-12-31 11:00:00+00:00,25593.0,25595.75,25584.25,25585.0,483
2025-12-31 11:15:00+00:00,25595.75,25599.0,25581.5,25593.25,603
2025-12-31 11:30:00+00:00,25604.25,25605.5,25594.0,25595.25,525
2025-12-31 11:45:00+00:00,25609.5,25611.75,25600.0,25605.5,750
2025-12-31 12:00:00+00:00,25607.25,25615.5,25598.25,25609.25,1164
2025-12-31 12:15:00+00:00,25622.75,25628.75,25607.25,25607.25,1020
2025-12-31 12:30:00+00:00,25622.0,25632.0,25620.0,25622.5,952
2025-12-31 12:45:00+00:00,25629.0,25631.75,25620.25,25622.5,707
2025-12-31 13:00:00+00:00,25629.5,25634.75,25621.75,25629.25,945
2025-12-31 13:15:00+00:00,25647.25,25650.0,25628.5,25629.25,1398
2025-12-31 13:30:00+00:00,25675.25,25675.5,25641.25,25649.0,2698
2025-12-31 13:45:00+00:00,25703.0,25714.75,25672.75,25675.5,5026
2025-12-31 14:00:00+00:00,25701.0,25716.75,25698.75,25702.75,2538
2025-12-31 14:15:00+00:00,25678.75,25702.75,25678.5,25700.75,3285
2025-12-31 14:30:00+00:00,25620.0,25692.0,25609.25,25678.5,25208
2025-12-31 14:45:00+00:00,25605.5,25635.25,25581.5,25619.75,19706
2025-12-31 15:00:00+00:00,25603.0,25618.0,25582.5,25606.25,12298
2025-12-31 15:15:00+00:00,25602.5,25611.0,25568.0,25603.5,12272
2025-12-31 15:30:00+00:00,25587.5,25608.75,25574.0,25602.25,7443
2025-12-31 15:45:00+00:00,25555.0,25588.5,25542.5,25587.75,10431
2025-12-31 16:00:00+00:00,25562.75,25569.0,25552.75,25554.25,6997
2025-12-31 16:15:00+00:00,25596.0,25597.5,25562.75,25563.0,6839
2025-12-31 16:30:00+00:00,25578.5,25597.75,25572.0,25596.5,6899
2025-12-31 16:45:00+00:00,25605.0,25607.5,25572.0,25579.0,6577
2025-12-31 17:00:00+00:00,25580.75,25606.5,25568.0,25605.0,7138
2025-12-31 17:15:00+00:00,25587.25,25592.5,25576.75,25581.0,4679
2025-12-31 17:30:00+00:00,25594.25,25604.75,25583.25,25587.0,5170
2025-12-31 17:45:00+00:00,25581.5,25596.0,25571.75,25594.5,5197
2025-12-31 18:00:00+00:00,25602.75,25603.0,25572.5,25581.5,4455
2025-12-31 18:15:00+00:00,25603.25,25604.75,25584.25,25603.0,4361
2025-12-31 18:30:00+00:00,25618.25,25626.5,25596.5,25603.5,6104
2025-12-31 18:45:00+00:00,25614.25,25629.5,25611.75,25618.25,5294
2025-12-31 19:00:00+00:00,25619.75,25634.5,25614.0,25614.5,4121
2025-12-31 19:15:00+00:00,25582.0,25620.75,25580.5,25620.25,6882
2025-12-31 19:30:00+00:00,25549.0,25585.25,25535.5,25582.0,12201
2025-12-31 19:45:00+00:00,25535.75,25556.25,25532.0,25549.25,5751
2025-12-31 20:00:00+00:00,25498.75,25539.5,25484.5,25535.75,11676
2025-12-31 20:15:00+00:00,25478.0,25512.5,25471.75,25498.5,8986
2025-12-31 20:30:00+00:00,25505.25,25513.5,25470.25,25478.0,9916
2025-12-31 20:45:00+00:00,25455.25,25508.75,25444.5,25505.25,26641
2025-12-31 21:00:00+00:00,25459.0,25471.5,25441.0,25455.0,11368
2025-12-31 21:15:00+00:00,25445.0,25459.0,25440.0,25459.0,2155
2025-12-31 21:30:00+00:00,25443.0,25445.5,25436.0,25445.0,853
