Date,News,Vol,Profile,Acc
2025-07-07,⚪ -,2.12,EXPAN_BAJ,1H
2025-07-08,🔴 CPI,1.82,EXPAN_BAJ,1H
2025-07-09,🔴 CPI,2.36,EXPAN_ALC,1H
2025-07-10,⚪ -,2.01,MEGÁFONO,1H
2025-07-11,⚪ -,1.36,TRAMPA_BULL,1H
2025-07-14,⚪ -,2.15,EXPAN_ALC,1H
2025-07-15,⚪ -,2.29,MEGÁFONO,1H
2025-07-16,🔴 FOMC,1.7,MEGÁFONO,1H
2025-07-17,⚪ -,2.83,MEGÁFONO,1H
2025-07-18,⚪ -,3.64,MEGÁFONO,1H
2025-07-21,⚪ -,2.78,MEGÁFONO,1H
2025-07-22,⚪ -,3.02,EXPAN_BAJ,1H
2025-07-23,⚪ -,3.34,MEGÁFONO,1H
2025-07-24,🔴 GDP/PCE,1.67,MEGÁFONO,1H
2025-07-25,🔴 GDP/PCE,3.21,MEGÁFONO,1H
2025-07-28,⚪ -,1.11,TRAMPA_BEAR,1H
2025-07-29,⚪ -,3.37,MEGÁFONO,1H
2025-07-30,⚪ -,3.9,MEGÁFONO,1H
2025-07-31,⚪ -,5.4,EXPAN_BAJ,1H
2025-08-01,🔴 NFP,1.32,EXPAN_BAJ,1H
2025-08-04,⚪ -,2.29,EXPAN_ALC,1H
2025-08-05,⚪ -,3.11,EXPAN_BAJ,1H
2025-08-06,⚪ -,2.48,EXPAN_ALC,1H
2025-08-07,⚪ -,2.03,MEGÁFONO,1H
2025-08-08,⚪ -,3.18,EXPAN_ALC,1H
2025-08-11,⚪ -,2.25,MEGÁFONO,1H
2025-08-12,🔴 CPI,1.53,EXPAN_ALC,1H
2025-08-13,🔴 CPI,2.41,MEGÁFONO,1H
2025-08-14,⚪ -,1.1,TRAMPA_BULL,1H
2025-08-15,⚪ -,2.09,EXPAN_BAJ,1H
2025-08-18,⚪ -,1.37,MEGÁFONO,1H
2025-08-19,⚪ -,5.24,EXPAN_BAJ,1H
2025-08-20,🔴 FOMC,4.92,EXPAN_BAJ,1H
2025-08-21,⚪ -,1.59,TRAMPA_BEAR,1H
2025-08-22,🔴 GDP/PCE,3.03,EXPAN_ALC,1H
2025-08-25,⚪ -,2.29,MEGÁFONO,1H
2025-08-26,⚪ -,1.92,EXPAN_ALC,1H
2025-08-27,⚪ -,2.96,MEGÁFONO,1H
