date,weekday,direction,result,pnl_pts,vxn,cot_idx,uptrend
2024-03-25,Lunes,BUY,FLAT,11.0,17.1,51.2,True
2024-03-26,Martes,SELL,FLAT,27.8,16.6,37.6,True
2024-03-27,Miércoles,SELL,LOSS,-33.5,16.7,37.6,True
2024-04-17,Miércoles,SELL,LOSS,-9.1,21.6,36.6,False
2024-05-02,Jueves,SELL,WIN,68.5,17.4,14.0,True
2024-06-10,Lunes,BUY,WIN,59.0,15.8,44.5,True
2024-06-18,Martes,SELL,WIN,40.8,0.0,15.3,True
2024-07-01,Lunes,BUY,LOSS,-38.3,16.1,44.0,True
2024-07-10,Miércoles,SELL,FLAT,-47.2,17.9,36.1,True
2024-07-23,Martes,SELL,LOSS,-80.3,23.1,37.8,False
2024-07-30,Martes,SELL,LOSS,-36.7,22.3,34.6,True
2024-08-07,Miércoles,SELL,LOSS,-29.9,26.9,22.0,False
2024-08-19,Lunes,BUY,WIN,85.0,21.1,9.7,True
2024-08-22,Jueves,SELL,WIN,53.5,21.1,0.0,True
2024-09-04,Miércoles,SELL,LOSS,-32.8,23.5,4.0,False
2024-09-17,Martes,SELL,LOSS,-97.5,22.7,0.0,True
2024-09-30,Lunes,BUY,WIN,101.2,21.7,16.7,False
2024-10-01,Martes,SELL,WIN,75.0,21.4,16.1,False
2024-10-03,Jueves,SELL,LOSS,-29.2,21.6,16.1,True
2024-10-07,Lunes,BUY,FLAT,17.8,23.6,16.1,True
2024-10-09,Miércoles,SELL,LOSS,-53.6,23.6,15.8,True
2024-10-17,Jueves,SELL,LOSS,-112.1,21.8,10.6,True
2024-10-21,Lunes,BUY,WIN,58.0,22.0,10.6,True
2024-11-26,Martes,SELL,LOSS,-40.0,16.7,39.1,True
2024-12-05,Jueves,SELL,LOSS,-23.1,15.1,37.0,True
2024-12-19,Jueves,SELL,FLAT,16.0,21.5,21.7,False
2024-12-23,Lunes,BUY,LOSS,-157.3,17.0,21.7,True
2025-01-07,Martes,SELL,LOSS,-17.5,20.7,34.2,False
2025-01-09,Jueves,SELL,FLAT,27.8,21.7,34.2,False
2025-01-21,Martes,SELL,WIN,93.5,18.7,27.9,True
2025-01-27,Lunes,BUY,FLAT,16.0,20.3,27.9,True
2025-01-28,Martes,SELL,WIN,152.2,20.6,13.4,False
2025-02-20,Jueves,SELL,WIN,44.5,21.0,0.0,False
2025-03-11,Martes,SELL,WIN,116.8,26.8,71.0,False
2025-03-12,Miércoles,SELL,FLAT,-149.5,27.6,71.0,False
2025-03-13,Jueves,SELL,WIN,144.0,25.8,71.0,False
2025-03-19,Miércoles,SELL,LOSS,-37.4,23.4,52.7,True
2025-04-16,Miércoles,SELL,FLAT,95.2,32.8,39.3,True
2025-05-01,Jueves,SELL,WIN,75.2,25.7,3.9,True
