date,weekday,direction,result,entry,exit,pnl_pts,uptrend,sweep_size,asia_rng
2024-03-20,Miércoles,SELL,FLAT,18279.0,18278.8,0.2,False,1.161,45.0
2024-03-21,Jueves,SELL,LOSS,18667.2,18677.0,-9.8,False,0.096,78.5
2024-03-25,Lunes,BUY,FLAT,18532.0,18543.0,11.0,True,1.706,44.2
2024-04-01,Lunes,BUY,WIN,18567.0,18602.8,35.8,False,2.063,35.8
2024-04-17,Miércoles,SELL,LOSS,17935.8,17944.8,-9.1,False,0.044,157.5
2024-05-02,Jueves,SELL,WIN,17588.0,17519.5,68.5,True,0.464,68.5
2024-05-23,Jueves,SELL,WIN,18970.5,18928.5,42.0,True,1.256,42.0
2024-05-30,Jueves,SELL,WIN,18703.0,18657.8,45.2,False,1.856,45.2
2024-06-10,Lunes,BUY,WIN,18992.5,19051.5,59.0,True,0.309,59.0
2024-06-27,Jueves,SELL,LOSS,19973.2,20015.5,-42.2,True,0.526,61.8
2024-07-01,Lunes,BUY,LOSS,19931.0,19892.7,-38.3,True,0.329,89.8
2024-07-23,Martes,SELL,LOSS,19953.8,20034.0,-80.3,False,0.722,85.5
2024-08-07,Miércoles,SELL,LOSS,18438.8,18468.7,-29.9,False,0.105,218.5
2024-08-19,Lunes,BUY,WIN,19563.0,19648.0,85.0,True,0.444,85.0
2024-08-22,Jueves,SELL,WIN,19930.0,19876.5,53.5,True,1.206,53.5
2024-09-04,Miércoles,SELL,LOSS,18917.5,18950.3,-32.8,False,0.289,87.2
2024-09-26,Jueves,SELL,LOSS,20499.8,20529.3,-29.6,True,0.163,139.5
2024-09-30,Lunes,BUY,WIN,20146.0,20247.2,101.2,False,0.262,101.2
2024-10-01,Martes,SELL,WIN,20290.0,20215.0,75.0,False,0.463,75.0
2024-10-03,Jueves,SELL,LOSS,19972.5,20001.8,-29.2,True,0.187,120.5
2024-10-07,Lunes,BUY,FLAT,20132.5,20150.2,17.8,True,0.732,101.8
2024-10-17,Jueves,SELL,LOSS,20474.5,20586.6,-112.1,True,0.462,186.5
2024-10-21,Lunes,BUY,WIN,20425.0,20483.0,58.0,True,1.401,58.0
2024-10-24,Jueves,SELL,WIN,20388.0,20306.5,81.5,True,0.497,81.5
2024-11-04,Lunes,BUY,LOSS,20135.2,20090.4,-44.8,False,0.307,112.5
2024-11-14,Jueves,SELL,WIN,21174.8,21090.5,84.2,False,0.184,84.2
2024-11-18,Lunes,BUY,WIN,20578.2,20656.8,78.5,False,1.232,78.5
2024-12-05,Jueves,SELL,LOSS,21520.0,21543.1,-23.1,True,0.573,31.0
2024-12-09,Lunes,BUY,LOSS,21636.2,21570.9,-65.3,True,0.718,70.0
2024-12-19,Jueves,SELL,FLAT,21313.2,21297.2,16.0,False,0.601,152.8
2024-12-23,Lunes,BUY,LOSS,21665.2,21508.0,-157.3,True,1.587,76.2
2025-01-02,Jueves,SELL,WIN,21424.5,21318.0,106.5,True,0.62,106.5
2025-01-07,Martes,SELL,LOSS,21765.5,21783.0,-17.5,False,0.129,104.5
2025-01-09,Jueves,SELL,FLAT,21329.2,21301.5,27.8,False,0.047,111.2
2025-01-13,Lunes,BUY,FLAT,20795.8,20737.5,-58.2,False,0.759,134.0
2025-01-27,Lunes,BUY,FLAT,21193.2,21209.2,16.0,True,1.37,313.5
