date,setup,result,entry,exit,pnl_pts,poc,vah,val,lon_swept_lo,lon_swept_hi
2024-03-14,BUY,LOSS,18121.5,18067.1355,-54.36449999999968,18130.3375,18143.65,18125.9,True,
2024-03-15,SELL,WIN,18004.5,17963.63125,40.868750000001455,17963.63125,17980.95,17958.5375,,True
2024-03-18,SELL,FLAT,18277.0,18295.0,-18.0,18153.887499999997,18169.0,18145.75,,True
2024-03-19,BUY,FLAT,18131.0,18158.75,27.75,18179.3125,18199.0,18178.375,True,
2024-03-20,SELL,WIN,18298.75,18253.125,45.625,18253.125,18265.5,18238.5,,True
2024-03-22,BUY,FLAT,18529.5,18559.0,29.5,18572.55625,18580.7375,18552.6875,True,
2024-03-25,BUY,WIN,18476.0,18537.53125,61.53125,18537.53125,18556.3375,18532.0,True,
2024-03-27,SELL,WIN,18548.5,18509.2875,39.212500000001455,18509.2875,18524.0,18494.575,,True
2024-04-01,BUY,WIN,18515.25,18582.19375,66.94374999999854,18582.19375,18590.2375,18570.575,True,
2024-04-02,BUY,FLAT,18338.0,18233.25,-104.75,18472.175,18494.7,18462.9,True,
2024-04-04,SELL,FLAT,18536.25,18534.75,1.5,18429.875,18446.45,18418.4,,True
2024-04-05,SELL,LOSS,18145.0,18204.2375,-59.23749999999927,18110.80625,18127.025,18103.2375,,True
2024-04-08,SELL,WIN,18358.5,18292.05,66.45000000000073,18292.05,18314.15,18280.15,,True
2024-04-09,SELL,WIN,18362.0,18315.6625,46.337500000001455,18315.6625,18334.5,18300.25,,True
2024-04-10,BUY,FLAT,18107.75,18144.5,36.75,18380.143750000003,18390.7875,18372.775,True,
2024-04-11,SELL,WIN,18246.5,18203.225,43.275000000001455,18203.225,18212.65,18195.25,,True
2024-04-12,BUY,FLAT,18318.25,18255.75,-62.5,18485.83125,18501.4875,18480.6125,True,
2024-04-15,SELL,WIN,18331.25,18247.9,83.34999999999854,18247.9,18274.25,18243.25,,True
2024-04-16,SELL,WIN,17892.75,17842.40625,50.34375,17842.40625,17870.625,17841.0625,,True
2024-04-17,SELL,WIN,17929.25,17853.0625,76.1875,17853.0625,17888.5,17801.875,,True
2024-04-18,BUY,LOSS,17681.5,17607.46875,-74.03125,17742.84375,17764.875,17732.5625,True,
2024-04-19,SELL,WIN,17517.0,17365.14375,151.85625000000073,17365.14375,17429.0625,17343.8375,,True
2024-04-23,SELL,LOSS,17422.25,17508.125,-85.875,17345.0625,17370.0,17333.25,,True
