date,weekday,direction,result,pnl_pts,entry,target,stop,poc,vah,val
2024-03-20,Miércoles,SELL,FLAT,20.1,18298.8,18234.0,18337.7,18258.3,18298.8,18234.0
2024-03-21,Jueves,SELL,LOSS,-31.0,18649.0,18594.5,18679.9,18610.2,18649.0,18594.5
2024-03-25,Lunes,BUY,LOSS,-28.7,18480.4,18572.3,18451.7,18546.3,18572.3,18480.4
2024-03-26,Martes,SELL,WIN,41.5,18615.8,18574.3,18619.6,18598.3,18615.8,18574.3
2024-03-27,Miércoles,SELL,LOSS,-15.8,18536.5,18499.6,18552.4,18522.0,18536.5,18499.6
2024-04-01,Lunes,BUY,LOSS,-48.2,18533.4,18599.1,18485.2,18575.4,18599.1,18533.4
2024-04-17,Miércoles,SELL,LOSS,0.0,17942.8,17866.0,17942.8,17918.1,17942.8,17866.0
2024-04-23,Martes,SELL,LOSS,-13.5,17418.5,17358.7,17432.0,17394.2,17418.5,17358.7
2024-05-02,Jueves,SELL,WIN,50.1,17609.7,17559.6,17621.8,17584.7,17609.7,17559.6
2024-05-15,Miércoles,SELL,LOSS,-80.5,18480.7,18393.0,18561.2,18411.1,18480.7,18393.0
2024-05-23,Jueves,SELL,WIN,63.2,18991.7,18928.5,19029.6,18945.9,18991.7,18928.5
2024-05-30,Jueves,SELL,WIN,90.5,18787.0,18696.5,18787.0,18750.4,18787.0,18696.5
2024-06-05,Miércoles,SELL,LOSS,0.0,18828.2,18753.1,18828.2,18780.2,18828.2,18753.1
2024-06-10,Lunes,BUY,WIN,36.0,18992.3,19028.3,18970.6,19016.7,19028.3,18992.3
2024-06-18,Martes,SELL,WIN,43.9,19965.2,19921.3,20002.8,19954.2,19965.2,19921.3
2024-06-27,Jueves,SELL,LOSS,-26.4,19983.8,19946.1,20010.1,19963.3,19983.8,19946.1
2024-07-01,Lunes,BUY,LOSS,-33.4,19929.3,19992.9,19895.9,19979.0,19992.9,19929.3
2024-07-10,Miércoles,SELL,LOSS,-19.9,20750.7,20696.2,20770.6,20730.6,20750.7,20696.2
2024-07-23,Martes,SELL,LOSS,-23.6,19995.9,19917.3,20019.4,19929.6,19995.9,19917.3
2024-07-30,Martes,SELL,LOSS,-5.4,19275.5,19207.5,19280.9,19255.1,19275.5,19207.5
2024-08-07,Miércoles,SELL,LOSS,-9.7,18453.7,18324.9,18463.4,18401.4,18453.7,18324.9
2024-08-19,Lunes,BUY,WIN,57.3,19562.1,19619.4,19517.9,19580.5,19619.4,19562.1
2024-08-22,Jueves,SELL,LOSS,0.0,19994.5,19915.8,19994.5,19953.2,19994.5,19915.8
2024-08-29,Jueves,SELL,LOSS,0.0,19516.2,19380.7,19516.2,19448.5,19516.2,19380.7
2024-09-04,Miércoles,SELL,LOSS,-36.0,18912.8,18856.5,18948.8,18877.1,18912.8,18856.5
2024-09-11,Miércoles,SELL,LOSS,-40.9,18841.2,18756.1,18882.1,18798.6,18841.2,18756.1
2024-09-17,Martes,SELL,LOSS,-20.8,19571.6,19496.3,19592.5,19539.8,19571.6,19496.3
2024-09-19,Jueves,SELL,LOSS,0.0,19784.0,19665.7,19784.0,19763.3,19784.0,19665.7
2024-09-24,Martes,SELL,WIN,67.1,20152.4,20085.3,20184.6,20123.3,20152.4,20085.3
2024-09-25,Miércoles,SELL,LOSS,-18.7,20142.4,20092.6,20161.1,20128.4,20142.4,20092.6
2024-09-26,Jueves,SELL,LOSS,-19.5,20506.3,20446.8,20525.7,20481.9,20506.3,20446.8
2024-09-30,Lunes,BUY,WIN,63.9,20153.6,20217.4,20112.7,20194.0,20217.4,20153.6
2024-10-01,Martes,SELL,WIN,40.2,20291.8,20251.6,20331.3,20260.7,20291.8,20251.6
2024-10-03,Jueves,SELL,LOSS,-28.6,19971.2,19904.4,19999.8,19944.9,19971.2,19904.4
2024-10-07,Lunes,BUY,WIN,105.8,20058.0,20163.8,20058.0,20102.1,20163.8,20058.0
2024-10-08,Martes,SELL,LOSS,0.0,20104.0,19996.3,20104.0,20079.8,20104.0,19996.3
2024-10-09,Miércoles,SELL,LOSS,-19.4,20276.8,20221.9,20296.2,20259.1,20276.8,20221.9
2024-10-17,Jueves,SELL,LOSS,0.0,20560.8,20433.5,20560.8,20519.8,20560.8,20433.5
