date,weekday,day_name,direction,sweep_cat,sweep_size,trend,ny_pos,with_trend,asia_rng,result,pnl_pts
2024-03-15,4,Viernes,SELL,GRANDE(>40%),1.902,DOWNTREND,ENCIMA,True,40.8,WIN,40.75
2024-03-18,0,Lunes,SELL,GRANDE(>40%),2.586,DOWNTREND,ENCIMA,True,46.5,LOSS,-156.33
2024-03-20,2,Miércoles,SELL,GRANDE(>40%),1.161,DOWNTREND,ENCIMA,True,45.0,FLAT,0.25
2024-03-21,3,Jueves,SELL,PEQUEÑO(<15%),0.096,DOWNTREND,DENTRO,True,78.5,LOSS,-9.75
2024-03-25,0,Lunes,BUY,GRANDE(>40%),1.706,UPTREND,DEBAJO,True,44.2,LOSS,-98.15
2024-03-26,1,Martes,SELL,PEQUEÑO(<15%),0.12,UPTREND,DENTRO,False,85.5,FLAT,27.75
2024-03-27,2,Miércoles,SELL,GRANDE(>40%),0.481,UPTREND,ENCIMA,False,53.5,LOSS,-33.47
2024-04-01,0,Lunes,BUY,GRANDE(>40%),2.063,DOWNTREND,DEBAJO,False,35.8,WIN,35.75
2024-04-04,3,Jueves,SELL,GRANDE(>40%),1.569,DOWNTREND,ENCIMA,True,51.0,LOSS,-104.0
2024-04-12,4,Viernes,BUY,GRANDE(>40%),3.683,DOWNTREND,DEBAJO,False,41.8,LOSS,-199.88
2024-04-15,0,Lunes,SELL,GRANDE(>40%),0.935,DOWNTREND,ENCIMA,True,62.0,WIN,62.0
2024-04-17,2,Miércoles,SELL,PEQUEÑO(<15%),0.044,DOWNTREND,DENTRO,True,157.5,LOSS,-9.1
2024-04-18,3,Jueves,BUY,GRANDE(>40%),0.826,DOWNTREND,DEBAJO,False,58.8,LOSS,-63.05
2024-04-19,4,Viernes,SELL,GRANDE(>40%),0.77,DOWNTREND,ENCIMA,True,121.8,WIN,121.75
2024-04-23,1,Martes,SELL,GRANDE(>40%),1.138,DOWNTREND,ENCIMA,True,52.5,LOSS,-77.67
