date,weekday,wd_num,model,pm_direction,am_direction,am_range,pm_range,am_hi,am_lo,pm_hi,pm_lo,am_open,am_close,pm_open,pm_close,poc,vah,val,ema200,ema50,vxn,trend_bias,swept_am_hi,swept_am_lo,tested_poc,tested_vah,tested_val,tested_ema200,pm_hi_time,pm_lo_time,closed_above_am_mid,pm_am_ratio
2025-09-12,VIERNES,4,LUNCH_TRAP,NEUTRAL,BULL,113.8,87.2,24115.25,24001.5,24159.0,24071.75,24041.75,24106.0,24106.25,24109.5,24074.25,24074.25,24074.25,24106.0,24106.0,20.0,BEAR,True,False,True,True,True,False,14:00,12:00,True,0.77
2025-09-15,LUNES,0,CONTINUATION,BULLISH,BULL,103.0,75.2,24265.25,24162.25,24315.5,24240.25,24172.75,24262.0,24262.0,24311.75,24261.25,24261.25,24261.25,21793.96,23371.47,19.6,BULL,True,False,False,False,False,False,15:00,11:00,True,0.73
2025-09-16,MARTES,1,LUNCH_TRAP,NEUTRAL,BULL,330.2,304.8,24609.75,24279.5,24563.0,24258.25,24353.0,24537.75,24538.0,24524.25,24538.0,24538.0,24538.0,21818.13,23404.85,19.0,BULL,False,True,False,False,False,False,15:00,12:00,True,0.92
2025-09-17,MIÉRCOLES,2,EXPANSION_PM,BULLISH,BEAR,130.8,308.5,24540.75,24410.0,24550.5,24242.0,24524.5,24420.5,24420.25,24475.25,24448.88,24448.88,24448.88,21844.42,23446.23,18.9,BULL,False,True,False,False,False,False,15:00,14:00,False,2.36
2025-09-18,JUEVES,3,ROTATION,BEARISH,BULL,210.5,119.2,24809.25,24598.75,24816.0,24696.75,24690.25,24734.5,24734.75,24698.5,24715.75,24715.75,24715.75,21871.52,23490.23,18.7,BULL,False,False,True,True,True,False,11:00,15:00,False,0.57
2025-09-19,VIERNES,4,EXPANSION_PM,BULLISH,BULL,83.5,180.0,24817.5,24734.0,24888.0,24708.0,24738.25,24763.5,24763.5,24860.25,24777.25,24777.25,24777.25,24763.5,24763.5,20.0,BEAR,True,True,False,False,False,False,15:00,11:00,True,2.16
2025-09-22,LUNES,0,CONTINUATION,BULLISH,BULL,148.0,130.0,24931.0,24783.0,25027.25,24897.25,24798.5,24926.75,24926.5,24999.0,24899.5,24899.5,24899.5,21931.78,23599.66,20.1,BULL,True,False,True,True,True,False,15:00,11:00,True,0.88
2025-09-23,MARTES,1,EXPANSION_PM,BEARISH,BEAR,81.2,189.2,25010.75,24929.5,24969.75,24780.5,25009.25,24944.5,24944.5,24830.25,24942.25,24942.25,24942.25,21959.71,23644.35,19.9,BULL,False,True,False,False,False,False,11:00,13:00,False,2.33
2025-09-24,MIÉRCOLES,2,EXPANSION_PM,BEARISH,BEAR,114.8,183.0,24899.25,24784.5,24810.0,24627.0,24881.5,24794.0,24794.0,24740.0,24807.38,24807.38,24807.38,21986.28,23682.97,20.5,BULL,False,True,True,True,True,False,11:00,12:00,False,1.59
2025-09-25,JUEVES,3,ROTATION,NEUTRAL,BULL,234.2,243.2,24656.75,24422.5,24696.75,24453.5,24567.75,24635.25,24635.0,24630.75,24544.0,24544.0,24544.0,22013.54,23723.9,19.3,BULL,True,False,False,False,False,False,11:00,14:00,True,1.04
2025-09-26,VIERNES,4,ROTATION,BULLISH,BEAR,213.2,191.2,24733.25,24520.0,24737.0,24545.75,24694.0,24565.0,24566.25,24726.0,24635.62,24635.62,24635.62,24565.0,24565.0,20.0,BEAR,False,False,False,False,False,True,14:00,11:00,True,0.9
2025-09-29,LUNES,0,LUNCH_TRAP,BEARISH,BULL,129.0,162.2,24975.5,24846.5,24942.75,24780.5,24899.25,24929.0,24929.25,24837.75,24935.5,24935.5,24935.5,22070.1,23812.06,20.0,BULL,False,True,True,True,True,False,11:00,15:00,False,1.26
2025-09-30,MARTES,1,ROTATION,BULLISH,FLAT,132.2,182.0,24854.5,24722.25,24913.75,24731.75,24833.0,24842.25,24842.5,24897.5,24813.88,24813.88,24813.88,22099.43,23859.33,19.9,BULL,True,False,False,False,False,False,15:00,13:00,True,1.38
2025-10-01,MIÉRCOLES,2,CONTINUATION,BULLISH,BULL,185.5,161.5,24912.0,24726.5,25036.75,24875.25,24777.5,24897.5,24896.75,25011.5,24841.12,24841.12,24841.12,22129.39,23908.38,20.0,BULL,True,False,False,False,False,False,15:00,11:00,True,0.87
2025-10-02,JUEVES,3,REVERSAL,BULLISH,BEAR,165.8,132.8,25180.0,25014.25,25126.5,24993.75,25162.0,25021.75,25021.0,25108.5,25042.25,25042.25,25042.25,22157.87,23950.87,20.1,BULL,False,True,False,False,False,False,15:00,11:00,True,0.8
2025-10-03,VIERNES,4,EXPANSION_PM,BEARISH,FLAT,117.0,232.8,25168.0,25051.0,25156.0,24923.25,25119.75,25117.0,25117.0,24996.25,25111.38,25111.38,25111.38,25117.0,25117.0,20.0,BEAR,False,True,False,False,False,False,12:00,13:00,False,1.99
2025-10-06,LUNES,0,LUNCH_TRAP,BULLISH,BEAR,113.2,109.8,25221.75,25108.5,25252.75,25143.0,25191.75,25152.25,25152.0,25184.25,25153.88,25153.88,25153.88,22216.36,24040.04,20.8,BULL,True,False,True,True,True,False,14:00,11:00,True,0.97
2025-10-07,MARTES,1,EXPANSION_PM,BEARISH,BEAR,102.8,206.8,25275.0,25172.25,25191.5,24984.75,25254.25,25186.0,25186.5,25045.25,25213.62,25213.62,25213.62,22247.35,24090.67,20.0,BULL,False,True,False,False,False,False,11:00,11:00,False,2.01
