strategy,result,pnl_pts,entry,target,stop,date,weekday,model,trend_bias,vxn
POC_RETURN_SELL,LOSS,-8.6,24094.2,24040.1,24085.6,2025-09-12,VIERNES,LUNCH_TRAP,BEAR,20.0
CONTINUATION_BUY,WIN,5.8,24281.2,24287.0,24152.0,2025-09-15,LUNES,CONTINUATION,BULL,19.6
CONTINUATION_BUY,FLAT,-33.8,24558.0,24620.6,24246.5,2025-09-16,MARTES,LUNCH_TRAP,BULL,19.0
CONTINUATION_BUY,WIN,32.6,24735.8,24768.4,24577.7,2025-09-18,JUEVES,ROTATION,BULL,18.7
CONTINUATION_BUY,WIN,17.0,24919.5,24936.5,24768.2,2025-09-22,LUNES,CONTINUATION,BULL,20.1
CONTINUATION_BUY,WIN,38.6,24564.0,24602.6,24399.1,2025-09-25,JUEVES,ROTATION,BULL,19.3
CONTINUATION_SELL,WIN,-33.3,24615.6,24582.3,24754.6,2025-09-26,VIERNES,ROTATION,BEAR,20.0
CONTINUATION_BUY,WIN,26.4,24861.1,24887.5,24708.0,2025-10-01,MIÉRCOLES,CONTINUATION,BULL,20.0
CONTINUATION_BUY,WIN,24.1,25204.1,25228.2,25037.1,2025-10-08,MIÉRCOLES,CONTINUATION,BULL,20.0
CONTINUATION_SELL,WIN,-45.1,25255.1,25210.1,25414.0,2025-10-10,VIERNES,EXPANSION_PM,BEAR,20.0
CONTINUATION_BUY,WIN,60.7,24653.1,24713.8,24388.7,2025-10-14,MARTES,CONTINUATION,BULL,24.4
CONTINUATION_BUY,LOSS,-201.8,25077.0,25111.5,24875.2,2025-10-15,MIÉRCOLES,EXPANSION_PM,BULL,28.3
CONTINUATION_BUY,LOSS,-107.2,25104.4,25125.8,24997.2,2025-10-16,JUEVES,EXPANSION_PM,BULL,25.0
CONTINUATION_BUY,WIN,31.8,25288.0,25319.8,25094.0,2025-10-20,LUNES,LUNCH_TRAP,BULL,22.6
CONTINUATION_BUY,WIN,44.4,25195.1,25239.6,24915.0,2025-10-23,JUEVES,CONTINUATION,BULL,20.6
CONTINUATION_BUY,WIN,3.8,25873.1,25876.9,25787.2,2025-10-27,LUNES,CONTINUATION,BULL,21.3
CONTINUATION_BUY,WIN,1.6,26070.0,26071.6,25999.6,2025-10-28,MARTES,EXPANSION_PM,BULL,21.8
POC_RETURN_BUY,LOSS,11.7,26268.9,26313.8,26280.6,2025-10-29,MIÉRCOLES,EXPANSION_PM,BULL,21.7
CONTINUATION_SELL,WIN,-19.2,26113.1,26093.9,26232.7,2025-10-31,VIERNES,EXPANSION_PM,BEAR,20.0
CONTINUATION_BUY,WIN,42.0,25728.4,25770.4,25463.2,2025-11-05,MIÉRCOLES,CONTINUATION,BULL,24.6
CONTINUATION_SELL,WIN,-55.2,24905.8,24850.5,25154.1,2025-11-07,VIERNES,EXPANSION_PM,BEAR,20.0
POC_RETURN_BUY,LOSS,-21.5,24811.6,24956.3,24790.1,2025-11-19,MIÉRCOLES,LUNCH_TRAP,MIXED,32.7
CONTINUATION_SELL,LOSS,257.1,24078.0,24005.3,24335.1,2025-11-21,VIERNES,EXPANSION_PM,BEAR,20.0
CONTINUATION_BUY,WIN,32.7,25409.1,25441.8,25188.2,2025-12-01,LUNES,ROTATION,BULL,21.3
CONTINUATION_BUY,LOSS,-191.4,25642.8,25672.4,25451.4,2025-12-02,MARTES,LUNCH_TRAP,BULL,20.6
POC_RETURN_BUY,LOSS,-5.7,25747.1,25844.1,25741.5,2025-12-05,VIERNES,ROTATION,BEAR,20.0
POC_RETURN_BUY,LOSS,-1.1,25683.8,25767.0,25682.7,2025-12-08,LUNES,LUNCH_TRAP,BULL,20.8
CONTINUATION_BUY,WIN,11.3,25677.0,25688.3,25547.5,2025-12-09,MARTES,LUNCH_TRAP,BULL,19.7
CONTINUATION_SELL,WIN,-84.6,25379.4,25294.8,25674.1,2025-12-12,VIERNES,CONTINUATION,BEAR,20.0
CONTINUATION_BUY,WIN,97.9,25254.4,25352.3,24890.1,2025-12-16,MARTES,REVERSAL,BULL,21.8
CONTINUATION_BUY,WIN,41.5,25341.8,25383.2,25136.7,2025-12-18,JUEVES,ROTATION,BULL,18.5
POC_RETURN_BUY,LOSS,3.3,25691.2,25761.3,25694.6,2025-12-22,LUNES,ROTATION,BULL,17.5
CONTINUATION_BUY,WIN,15.6,25732.0,25747.6,25594.8,2025-12-23,MARTES,CONTINUATION,BULL,17.2
CONTINUATION_BUY,WIN,5.1,25770.4,25775.5,25664.2,2025-12-30,MARTES,REVERSAL,BULL,19.6
CONTINUATION_SELL,WIN,-23.6,25560.2,25536.7,25734.2,2025-12-31,MIÉRCOLES,CONTINUATION,BEAR,20.0
CONTINUATION_SELL,WIN,-90.8,25534.0,25443.2,25848.1,2026-01-02,VIERNES,LUNCH_TRAP,BEAR,20.0
CONTINUATION_BUY,WIN,17.9,25652.4,25670.3,25523.6,2026-01-05,LUNES,REVERSAL,BULL,19.5
CONTINUATION_BUY,WIN,26.6,25740.2,25766.9,25573.8,2026-01-06,MARTES,CONTINUATION,BULL,20.0
CONTINUATION_BUY,WIN,17.4,25900.4,25917.8,25746.5,2026-01-07,MIÉRCOLES,REVERSAL,BULL,20.1
CONTINUATION_BUY,WIN,33.4,25928.2,25961.7,25698.4,2026-01-12,LUNES,CONTINUATION,BULL,20.0
CONTINUATION_SELL,FLAT,-0.2,25684.5,25629.6,25921.0,2026-01-16,VIERNES,ROTATION,BEAR,20.0
CONTINUATION_BUY,WIN,83.9,25417.4,25501.3,25030.7,2026-01-21,MIÉRCOLES,ROTATION,BULL,20.1
POC_RETURN_SELL,LOSS,-0.6,25879.2,25801.0,25878.7,2026-01-26,LUNES,REVERSAL,BULL,20.5
CONTINUATION_BUY,WIN,28.6,25879.2,25907.8,25684.8,2026-01-26,LUNES,REVERSAL,BULL,20.5
CONTINUATION_BUY,WIN,25.3,26085.9,26111.2,25899.1,2026-01-27,MARTES,ROTATION,BULL,20.4
POC_RETURN_BUY,LOSS,5.8,26188.1,26250.6,26194.0,2026-01-28,MIÉRCOLES,LUNCH_TRAP,BULL,21.4
CONTINUATION_BUY,WIN,78.0,25814.9,25892.9,25481.0,2026-02-02,LUNES,ROTATION,BULL,23.5
POC_RETURN_BUY,LOSS,-10.1,24808.5,24918.9,24798.4,2026-02-23,LUNES,REVERSAL,MIXED,24.8
POC_RETURN_BUY,LOSS,-33.7,25075.9,25257.0,25042.2,2026-02-26,JUEVES,ROTATION,MIXED,24.5
CONTINUATION_SELL,WIN,-60.8,24587.9,24527.1,24837.6,2026-03-13,VIERNES,CONTINUATION,BEAR,20.0
