date,weekday,wd_num,strategy,direction,result,pnl_pts,entry,target,stop,va_range,pm_range,vah,poc,val,ny_open_pos,pm_open_pos,trend
2026-01-05,LUNES,0,VAH_BO_RETEST_LONG,BUY,LOSS,-26.1,25596.8,25639.0,25570.7,105.6,158.5,25591.8,25553.4,25486.2,ABOVE_VA,ABOVE_VA,BULL
2026-01-05,LUNES,0,POC_SUPPORT_LONG,BUY,WIN,42.2,25558.4,25600.6,25532.3,105.6,158.5,25591.8,25553.4,25486.2,ABOVE_VA,ABOVE_VA,BULL
2026-01-09,VIERNES,4,VAH_BO_DIRECT_LONG,BUY,WIN,36.8,25811.9,25848.7,25785.5,92.0,174.8,25803.9,25729.2,25711.9,INSIDE_VA,INSIDE_VA,MIXED
2026-01-13,MARTES,1,VAH_BO_RETEST_LONG,BUY,WIN,37.8,25972.8,26010.6,25948.9,94.4,222.5,25967.8,25911.2,25873.4,INSIDE_VA,INSIDE_VA,BULL
2026-01-13,MARTES,1,VAL_BD_RETEST_SHORT,SELL,LOSS,23.9,25868.4,25830.7,25892.3,94.4,222.5,25967.8,25911.2,25873.4,INSIDE_VA,INSIDE_VA,BULL
2026-01-13,MARTES,1,POC_RESIST_SHORT,SELL,WIN,-37.8,25906.2,25868.4,25930.1,94.4,222.5,25967.8,25911.2,25873.4,INSIDE_VA,INSIDE_VA,BULL
2026-01-15,JUEVES,3,VAL_BD_RETEST_SHORT,SELL,FLAT,2.2,25721.4,25632.2,25771.1,223.1,261.5,25949.5,25820.4,25726.4,INSIDE_VA,INSIDE_VA,BULL
2026-01-15,JUEVES,3,POC_SUPPORT_LONG,BUY,LOSS,-49.6,25825.4,25914.6,25775.8,223.1,261.5,25949.5,25820.4,25726.4,INSIDE_VA,INSIDE_VA,BULL
2026-01-20,MARTES,1,VAH_BO_RETEST_LONG,BUY,LOSS,-25.6,25284.0,25325.2,25258.4,103.1,331.8,25279.0,25234.0,25175.9,INSIDE_VA,ABOVE_VA,MIXED
2026-01-20,MARTES,1,VAL_BD_RETEST_SHORT,SELL,WIN,-41.2,25170.9,25129.6,25196.5,103.1,331.8,25279.0,25234.0,25175.9,INSIDE_VA,ABOVE_VA,MIXED
2026-01-20,MARTES,1,POC_SUPPORT_LONG,BUY,LOSS,-25.6,25239.0,25280.3,25213.4,103.1,331.8,25279.0,25234.0,25175.9,INSIDE_VA,ABOVE_VA,MIXED
2026-01-21,MIÉRCOLES,2,VAH_BO_RETEST_LONG,BUY,LOSS,-36.1,25250.4,25312.5,25214.3,155.3,511.5,25245.4,25216.3,25090.0,INSIDE_VA,ABOVE_VA,MIXED
