date,weekday,wd_num,val,poc,vah,va_range,prof_hi,prof_lo,prof_range,ny_open_price,ny_open_pos,pm_open,pm_close,pm_hi,pm_lo,pm_range,pm_direction,pm_open_pos,touches_vah,touches_val,touches_poc,breaks_vah,breaks_val,close_above_va,close_below_va,close_inside,ema200,trend,vxn
2025-09-12,VIERNES,4,24006.6,24016.15,24044.8,38.2,24064.5,23969.0,95.5,24041.75,INSIDE_VA,24106.25,24109.5,24159.0,24071.75,87.2,NEUTRAL,ABOVE_VA,True,False,False,True,False,True,False,False,24016.15,MIXED,20.0
2025-09-15,LUNES,0,24121.4,24140.02,24235.48,114.1,24262.25,24076.0,186.2,24172.75,INSIDE_VA,24262.0,24311.75,24315.5,24240.25,75.2,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,21793.96,BULL,19.6
2025-09-16,MARTES,1,24356.14,24356.14,24571.61,215.5,24647.25,24280.5,366.8,24353.0,INSIDE_VA,24538.0,24524.25,24563.0,24258.25,304.8,NEUTRAL,INSIDE_VA,True,True,True,False,True,False,False,True,21818.13,BULL,19.0
2025-09-17,MIÉRCOLES,2,24487.09,24512.49,24535.46,48.4,24553.0,24456.25,96.8,24524.5,INSIDE_VA,24420.25,24475.25,24550.5,24242.0,308.5,BULLISH,BELOW_VA,True,True,True,True,True,False,True,False,21844.42,BULL,18.9
2025-09-18,JUEVES,3,24618.45,24710.98,24713.18,94.7,24762.75,24586.5,176.2,24690.25,INSIDE_VA,24734.75,24698.5,24816.0,24696.75,119.2,BEARISH,ABOVE_VA,True,False,True,True,False,False,False,True,21871.52,BULL,18.7
2025-09-19,VIERNES,4,24735.23,24737.27,24814.45,79.2,24817.5,24655.0,162.5,24738.25,INSIDE_VA,24763.5,24860.25,24888.0,24708.0,180.0,BULLISH,INSIDE_VA,True,True,True,True,True,True,False,False,24737.27,MIXED,20.0
2025-09-22,LUNES,0,24772.63,24784.16,24843.45,70.8,24880.5,24748.75,131.8,24798.5,INSIDE_VA,24926.5,24999.0,25027.25,24897.25,130.0,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,21931.78,BULL,20.1
2025-09-23,MARTES,1,24965.81,24999.7,25012.56,46.8,25026.0,24932.5,93.5,25009.25,INSIDE_VA,24944.5,24830.25,24969.75,24780.5,189.2,BEARISH,BELOW_VA,False,True,False,False,True,False,True,False,21959.71,BULL,19.9
2025-09-24,MIÉRCOLES,2,24835.29,24894.96,24906.24,71.0,24913.5,24784.5,129.0,24881.5,INSIDE_VA,24794.0,24740.0,24810.0,24627.0,183.0,BEARISH,BELOW_VA,False,True,False,False,True,False,True,False,21986.28,BULL,20.5
2025-09-25,JUEVES,3,24424.75,24550.75,24604.75,180.0,24782.5,24422.5,360.0,24567.75,INSIDE_VA,24635.0,24630.75,24696.75,24453.5,243.2,NEUTRAL,ABOVE_VA,True,False,True,True,False,True,False,False,22013.54,BULL,19.3
2025-09-26,VIERNES,4,24597.1,24612.7,24681.77,84.7,24747.5,24569.25,178.2,24694.0,INSIDE_VA,24566.25,24726.0,24737.0,24545.75,191.2,BULLISH,BELOW_VA,True,True,True,True,True,True,False,False,24612.7,MIXED,20.0
2025-09-29,LUNES,0,24847.92,24872.82,24920.83,72.9,24955.5,24813.25,142.2,24899.25,INSIDE_VA,24929.25,24837.75,24942.75,24780.5,162.2,BEARISH,INSIDE_VA,True,True,True,True,True,False,True,False,22070.1,BULL,20.0
2025-09-30,MARTES,1,24769.72,24811.36,24836.35,66.6,24855.5,24722.25,133.2,24833.0,INSIDE_VA,24842.5,24897.5,24913.75,24731.75,182.0,BULLISH,INSIDE_VA,True,True,True,True,True,True,False,False,22099.43,BULL,19.9
2025-10-01,MIÉRCOLES,2,24728.26,24762.1,24816.77,88.5,24841.5,24633.25,208.2,24777.5,INSIDE_VA,24896.75,25011.5,25036.75,24875.25,161.5,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,22129.39,BULL,20.0
2025-10-02,JUEVES,3,25054.65,25075.37,25152.03,97.4,25180.0,25014.25,165.8,25162.0,INSIDE_VA,25021.0,25108.5,25126.5,24993.75,132.8,BULLISH,BELOW_VA,False,True,True,False,True,False,False,True,22157.87,BULL,20.1
2025-10-03,VIERNES,4,25110.92,25167.18,25167.18,56.3,25196.5,25100.75,95.8,25119.75,INSIDE_VA,25117.0,24996.25,25156.0,24923.25,232.8,BEARISH,INSIDE_VA,True,True,True,False,True,False,True,False,25167.18,MIXED,20.0
2025-10-06,LUNES,0,25127.72,25181.55,25215.81,88.1,25241.5,25045.75,195.8,25191.75,INSIDE_VA,25152.0,25184.25,25252.75,25143.0,109.8,BULLISH,INSIDE_VA,True,False,True,True,False,False,False,True,22216.36,BULL,20.8
2025-10-07,MARTES,1,25200.45,25218.86,25274.08,73.6,25275.0,25127.75,147.2,25254.25,INSIDE_VA,25186.5,25045.25,25191.5,24984.75,206.8,BEARISH,INSIDE_VA,False,True,False,False,True,False,True,False,22247.35,BULL,20.0
2025-10-08,MIÉRCOLES,2,25054.8,25082.36,25131.58,76.8,25183.75,25026.25,157.5,25063.25,INSIDE_VA,25194.0,25329.75,25344.25,25190.0,154.2,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,22277.62,BULL,20.0
2025-10-09,JUEVES,3,25279.84,25330.7,25337.96,58.1,25367.75,25251.5,116.2,25332.75,INSIDE_VA,25251.5,25294.5,25295.75,25160.75,135.0,BULLISH,BELOW_VA,False,True,False,False,True,False,False,True,22298.71,BULL,25.2
2025-10-10,VIERNES,4,25294.84,25317.06,25354.67,59.8,25388.0,25251.25,136.8,25297.5,INSIDE_VA,25193.0,24402.75,25195.25,24384.25,811.0,BEARISH,BELOW_VA,False,True,False,False,True,False,True,False,25317.06,MIXED,20.0
2025-10-13,LUNES,0,24770.77,24834.22,24876.52,105.8,24936.0,24724.5,211.5,24787.25,INSIDE_VA,24759.0,24921.0,24965.0,24746.0,219.0,BULLISH,INSIDE_VA,True,True,True,True,True,True,False,False,22349.07,BULL,24.3
2025-10-14,MARTES,1,24503.97,24635.57,24704.23,200.3,24878.75,24421.0,457.8,24619.25,INSIDE_VA,24690.0,24756.5,24947.5,24684.25,263.2,BULLISH,INSIDE_VA,True,False,False,True,False,True,False,False,22374.69,BULL,24.4
2025-10-15,MIÉRCOLES,2,24923.72,24966.02,25021.53,97.8,25025.5,24814.0,211.5,25022.5,INSIDE_VA,25100.25,24924.75,25109.75,24663.5,446.2,BEARISH,ABOVE_VA,True,True,True,True,True,False,False,True,22399.14,BULL,28.3
2025-10-16,JUEVES,3,25027.88,25043.5,25108.58,80.7,25125.5,24917.25,208.2,25080.25,INSIDE_VA,25107.5,24831.25,25131.25,24643.5,487.8,BEARISH,INSIDE_VA,True,True,True,True,True,False,True,False,22424.88,BULL,25.0
2025-10-17,VIERNES,4,24574.99,24718.77,24886.5,311.5,24889.5,24410.25,479.2,24737.0,INSIDE_VA,24764.5,24988.25,25055.75,24675.0,380.8,BULLISH,INSIDE_VA,True,False,True,True,False,True,False,False,24718.77,MIXED,20.0
2025-10-20,LUNES,0,25077.14,25117.54,25190.76,113.6,25240.0,25038.0,202.0,25129.5,INSIDE_VA,25314.25,25300.0,25354.5,25289.25,65.2,NEUTRAL,ABOVE_VA,True,False,False,True,False,True,False,False,22481.81,BULL,22.6
2025-10-21,MARTES,1,25250.18,25277.72,25306.72,56.5,25327.75,25211.75,116.0,25298.5,INSIDE_VA,25297.75,25291.5,25348.5,25242.0,106.5,NEUTRAL,INSIDE_VA,True,True,True,True,False,False,False,True,22507.26,BULL,23.3
2025-10-22,MIÉRCOLES,2,25204.41,25264.59,25289.49,85.1,25338.25,25172.25,166.0,25260.75,INSIDE_VA,25173.75,25040.5,25192.25,24804.75,387.5,BEARISH,BELOW_VA,False,True,False,False,True,False,True,False,22534.59,BULL,21.7
2025-10-23,JUEVES,3,24971.9,25081.13,25114.51,142.6,25179.75,24937.0,242.8,25008.0,INSIDE_VA,25189.75,25253.0,25288.0,25119.5,168.5,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,22564.19,BULL,20.6
2025-10-24,VIERNES,4,25324.28,25367.23,25485.34,161.1,25535.0,25320.25,214.8,25459.0,INSIDE_VA,25467.75,25509.25,25570.75,25456.75,114.0,BULLISH,INSIDE_VA,True,False,False,True,False,True,False,False,25367.23,MIXED,20.0
2025-10-27,LUNES,0,25799.07,25830.95,25848.21,49.1,25859.5,25753.25,106.2,25830.75,INSIDE_VA,25857.75,25960.75,25981.25,25855.5,125.8,BULLISH,INSIDE_VA,True,False,False,True,False,True,False,False,22633.49,BULL,21.3
2025-10-28,MARTES,1,26000.85,26012.24,26093.8,92.9,26094.75,25943.0,151.8,26012.25,INSIDE_VA,26035.75,26160.0,26231.5,26006.0,225.5,BULLISH,INSIDE_VA,True,True,True,True,False,True,False,False,22669.6,BULL,21.8
2025-10-29,MIÉRCOLES,2,26254.86,26262.25,26301.65,46.8,26319.5,26221.0,98.5,26260.75,INSIDE_VA,26260.25,26280.5,26290.0,26049.25,240.8,BULLISH,INSIDE_VA,True,True,True,False,True,False,False,True,22701.58,BULL,21.7
2025-10-30,JUEVES,3,26045.99,26238.99,26287.24,241.2,26328.25,25942.25,386.0,26087.0,INSIDE_VA,26016.25,25872.0,26097.0,25869.25,227.8,BEARISH,BELOW_VA,False,True,False,False,True,False,True,False,22734.44,BULL,22.0
2025-10-31,VIERNES,4,26122.63,26188.02,26217.09,94.5,26274.0,26080.25,193.8,26211.5,INSIDE_VA,26164.0,25994.0,26182.75,25888.75,294.0,BEARISH,INSIDE_VA,False,True,True,False,True,False,True,False,26188.02,MIXED,20.0
2025-11-03,LUNES,0,26121.41,26146.29,26230.24,108.8,26266.0,26017.25,248.8,26189.5,INSIDE_VA,26088.5,26110.5,26166.25,26043.5,122.8,BULLISH,BELOW_VA,False,True,True,False,True,False,True,False,22795.89,BULL,23.3
2025-11-04,MARTES,1,25684.85,25750.7,25806.15,121.3,25922.25,25645.0,277.2,25715.75,INSIDE_VA,25789.0,25579.5,25822.75,25544.0,278.8,BEARISH,INSIDE_VA,True,True,True,True,True,False,True,False,22825.25,BULL,22.6
2025-11-05,MIÉRCOLES,2,25460.58,25511.68,25595.62,135.0,25696.0,25404.0,292.0,25586.75,INSIDE_VA,25719.75,25740.75,25880.0,25658.25,221.8,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,22849.32,BULL,24.6
2025-11-06,JUEVES,3,25609.53,25765.65,25777.36,167.8,25822.25,25510.0,312.2,25766.75,INSIDE_VA,25302.75,25259.0,25438.5,25197.75,240.8,BEARISH,BELOW_VA,False,True,False,False,True,False,True,False,22872.37,BULL,24.6
2025-11-07,VIERNES,4,24920.48,25095.28,25144.44,224.0,25354.75,24917.75,437.0,25111.25,INSIDE_VA,24822.75,25164.5,25173.0,24709.25,463.8,BULLISH,BELOW_VA,True,True,True,True,True,True,False,False,25095.28,MIXED,20.0
2025-11-10,LUNES,0,25520.83,25538.35,25625.96,105.1,25657.25,25457.0,200.2,25555.75,INSIDE_VA,25523.75,25712.5,25760.5,25452.5,308.0,BULLISH,INSIDE_VA,True,True,True,True,True,True,False,False,22927.91,BULL,22.7
2025-11-11,MARTES,1,25577.44,25611.82,25644.39,66.9,25705.0,25560.25,144.8,25596.75,INSIDE_VA,25513.0,25646.5,25696.25,25478.5,217.8,BULLISH,BELOW_VA,True,True,True,True,True,True,False,False,22954.74,BULL,23.1
2025-11-12,MIÉRCOLES,2,25667.22,25791.4,25811.54,144.3,25830.0,25561.5,268.5,25800.75,INSIDE_VA,25557.25,25625.25,25651.5,25488.75,162.8,BULLISH,BELOW_VA,False,True,False,False,True,False,True,False,22976.03,BULL,25.9
2025-11-13,JUEVES,3,25283.26,25498.24,25564.39,281.1,25721.5,25280.5,441.0,25497.75,INSIDE_VA,25257.75,25100.25,25277.75,25002.5,275.2,BEARISH,BELOW_VA,False,True,False,False,True,False,True,False,22997.11,BULL,26.1
2025-11-14,VIERNES,4,24691.04,24936.92,24967.65,276.6,25118.25,24626.5,491.8,24717.0,INSIDE_VA,25142.5,25103.25,25293.25,25069.0,224.2,BEARISH,ABOVE_VA,True,False,False,True,False,True,False,False,24936.92,MIXED,20.0
2025-11-17,LUNES,0,25018.48,25241.91,25252.07,233.6,25361.25,24955.0,406.2,25078.5,INSIDE_VA,25080.5,24887.5,25201.0,24731.75,469.2,BEARISH,INSIDE_VA,False,True,False,False,True,False,True,False,23031.55,BULL,30.5
2025-11-18,MARTES,1,24659.11,24709.73,24832.08,173.0,24859.5,24522.0,337.5,24731.75,INSIDE_VA,24458.75,24583.0,24810.25,24380.0,430.2,BULLISH,BELOW_VA,False,True,True,False,True,False,True,False,23048.37,MIXED,29.3
2025-11-19,MIÉRCOLES,2,24574.02,24694.45,24780.46,206.4,24903.75,24445.0,458.8,24664.75,INSIDE_VA,24768.75,24725.0,24830.25,24507.0,323.2,BEARISH,INSIDE_VA,True,True,True,True,True,False,False,True,23059.15,MIXED,32.7
2025-11-20,JUEVES,3,25138.36,25158.56,25266.26,127.9,25291.5,25022.25,269.2,25230.0,INSIDE_VA,25162.75,24137.25,25164.75,24098.0,1066.8,BEARISH,INSIDE_VA,False,True,True,False,True,False,True,False,23071.55,BULL,29.0
2025-11-21,VIERNES,4,24103.71,24147.98,24280.78,177.1,24298.0,23904.5,393.5,24242.0,INSIDE_VA,24021.0,24313.75,24596.25,23935.0,661.2,BULLISH,BELOW_VA,True,True,True,True,True,True,False,False,24147.98,MIXED,20.0
2025-11-24,LUNES,0,24454.26,24499.38,24661.83,207.6,24722.75,24361.75,361.0,24498.0,INSIDE_VA,24780.0,24936.5,24993.5,24779.5,214.0,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,23110.08,MIXED,23.7
2025-11-25,MARTES,1,24739.64,24884.27,24954.25,214.6,24975.25,24602.0,373.2,24884.0,INSIDE_VA,24818.25,25079.75,25135.25,24773.5,361.8,BULLISH,INSIDE_VA,True,False,True,True,False,True,False,False,23131.89,MIXED,22.3
2025-11-26,MIÉRCOLES,2,25155.9,25174.1,25230.71,74.8,25280.25,25118.5,161.8,25214.25,INSIDE_VA,25268.25,25296.25,25376.0,25263.25,112.8,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,25174.1,MIXED,20.0
2025-12-01,LUNES,0,25217.7,25240.98,25317.8,100.1,25379.5,25193.25,186.2,25266.0,INSIDE_VA,25413.0,25402.0,25495.75,25322.5,173.2,NEUTRAL,ABOVE_VA,True,False,False,True,False,True,False,False,23201.69,BULL,21.3
2025-12-02,MARTES,1,25474.28,25485.09,25596.79,122.5,25613.0,25324.75,288.2,25507.25,INSIDE_VA,25648.0,25600.5,25663.5,25414.5,249.0,BEARISH,ABOVE_VA,True,True,True,True,True,True,False,False,23226.12,BULL,20.6
2025-12-03,MIÉRCOLES,2,25509.76,25644.55,25667.02,157.3,25678.25,25421.5,256.8,25648.0,INSIDE_VA,25563.25,25657.25,25685.25,25521.75,163.5,BULLISH,INSIDE_VA,True,True,True,True,False,False,False,True,23249.97,BULL,20.2
2025-12-04,JUEVES,3,25596.72,25654.4,25702.46,105.7,25732.5,25540.25,192.2,25631.75,INSIDE_VA,25569.5,25627.25,25653.25,25488.75,164.5,BULLISH,BELOW_VA,False,True,True,False,True,False,False,True,23274.67,BULL,19.6
2025-12-05,VIERNES,4,25637.02,25723.63,25754.36,117.3,25803.25,25579.75,223.5,25613.75,BELOW_VA,25743.0,25726.0,25767.0,25651.25,115.8,BEARISH,INSIDE_VA,True,True,True,True,False,False,False,True,25723.63,MIXED,20.0
2025-12-08,LUNES,0,25762.4,25793.74,25835.51,73.1,25860.75,25721.5,139.2,25810.25,INSIDE_VA,25662.75,25669.0,25696.25,25564.75,131.5,NEUTRAL,BELOW_VA,False,True,False,False,True,False,True,False,23322.33,BULL,20.8
2025-12-09,MARTES,1,25568.58,25652.45,25652.45,83.9,25712.5,25560.0,152.5,25616.5,INSIDE_VA,25683.75,25703.25,25735.75,25668.25,67.5,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,23346.97,BULL,19.7
2025-12-10,MIÉRCOLES,2,25588.23,25668.66,25682.07,93.8,25745.75,25567.0,178.8,25673.0,INSIDE_VA,25567.0,25800.0,25870.75,25528.75,342.0,BULLISH,BELOW_VA,True,True,True,True,True,True,False,False,23370.51,BULL,18.4
2025-12-11,JUEVES,3,25473.75,25488.77,25657.8,184.1,25701.0,25400.5,300.5,25643.75,INSIDE_VA,25531.25,25715.0,25722.75,25456.25,266.5,BULLISH,INSIDE_VA,True,True,True,True,True,True,False,False,23388.85,BULL,20.6
2025-12-12,VIERNES,4,25535.71,25571.2,25626.95,91.2,25704.25,25501.5,202.8,25625.5,INSIDE_VA,25240.25,25209.75,25372.5,25118.0,254.5,BEARISH,BELOW_VA,False,True,False,False,True,False,True,False,25571.2,MIXED,20.0
2025-12-15,LUNES,0,25264.04,25337.63,25381.79,117.8,25410.0,25213.75,196.2,25380.0,INSIDE_VA,25154.25,25084.0,25266.75,25080.25,186.5,BEARISH,BELOW_VA,False,True,False,False,True,False,True,False,23423.06,BULL,20.2
2025-12-16,MARTES,1,24988.52,25038.46,25252.5,264.0,25398.75,24828.0,570.8,25252.5,INSIDE_VA,25322.0,25132.75,25444.0,24934.0,510.0,BEARISH,ABOVE_VA,True,True,True,True,True,False,False,True,23435.45,MIXED,21.8
2025-12-17,MIÉRCOLES,2,25163.71,25244.47,25443.27,279.6,25508.5,25011.5,497.0,25464.75,ABOVE_VA,25058.25,24892.0,25122.5,24756.25,366.2,BEARISH,BELOW_VA,False,True,False,False,True,False,True,False,23451.3,BULL,20.7
2025-12-18,JUEVES,3,25148.67,25167.46,25327.15,178.5,25329.5,24953.75,375.8,25221.5,INSIDE_VA,25365.75,25252.0,25412.5,25184.5,228.0,BEARISH,ABOVE_VA,True,False,False,True,False,False,False,True,23468.03,BULL,18.5
2025-12-19,VIERNES,4,25283.98,25356.71,25456.24,172.3,25573.0,25266.75,306.2,25323.0,INSIDE_VA,25483.0,25581.0,25597.5,25460.0,137.5,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,25356.71,MIXED,20.0
2025-12-22,LUNES,0,25674.67,25707.8,25750.86,76.2,25794.75,25662.25,132.5,25753.0,INSIDE_VA,25674.25,25688.25,25727.25,25672.5,54.8,NEUTRAL,INSIDE_VA,False,True,True,False,False,False,False,True,23513.27,BULL,17.5
2025-12-23,MARTES,1,25621.66,25678.86,25709.24,87.6,25751.25,25608.25,143.0,25621.0,INSIDE_VA,25731.5,25811.25,25820.5,25726.5,94.0,BULLISH,ABOVE_VA,True,False,False,True,False,True,False,False,23536.82,BULL,17.2
2025-12-26,VIERNES,4,25866.82,25877.18,25915.12,48.3,25935.25,25843.25,92.0,25897.0,INSIDE_VA,25899.0,25866.75,25912.0,25847.75,64.2,BEARISH,INSIDE_VA,True,True,True,False,True,False,True,False,25877.18,MIXED,20.0
2025-12-29,LUNES,0,25662.98,25747.66,25775.05,112.1,25856.0,25656.75,199.2,25694.75,INSIDE_VA,25702.5,25741.0,25774.25,25648.0,126.2,BULLISH,INSIDE_VA,True,True,True,False,True,False,False,True,23602.49,BULL,19.0
2025-12-30,MARTES,1,25691.21,25732.67,25747.74,56.5,25774.75,25674.25,100.5,25714.25,INSIDE_VA,25744.5,25677.5,25793.75,25668.25,125.5,BEARISH,INSIDE_VA,True,True,True,True,True,False,True,False,23620.94,BULL,19.6
2025-12-31,MIÉRCOLES,2,25582.27,25600.75,25678.77,96.5,25716.75,25552.5,164.2,25702.75,ABOVE_VA,25554.25,25455.25,25634.5,25444.5,190.0,BEARISH,BELOW_VA,False,True,True,False,True,False,True,False,25600.75,MIXED,20.0
2026-01-02,VIERNES,4,25639.99,25706.93,25740.4,100.4,25803.75,25612.5,191.2,25692.0,INSIDE_VA,25375.75,25386.0,25457.0,25265.25,191.8,NEUTRAL,BELOW_VA,False,True,False,False,True,False,True,False,25706.93,MIXED,20.0
2026-01-05,LUNES,0,25540.64,25546.08,25649.39,108.8,25672.5,25455.0,217.5,25576.0,INSIDE_VA,25665.25,25587.0,25708.0,25549.5,158.5,BEARISH,ABOVE_VA,True,True,True,True,False,False,False,True,23679.33,BULL,19.5
2026-01-06,MARTES,1,25593.24,25596.16,25710.12,116.9,25761.25,25527.5,233.8,25616.75,INSIDE_VA,25687.0,25834.75,25837.75,25645.5,192.2,BULLISH,INSIDE_VA,True,False,False,True,False,True,False,False,23700.82,BULL,20.0
2026-01-07,MIÉRCOLES,2,25754.73,25779.59,25840.79,86.1,25880.0,25727.0,153.0,25788.25,INSIDE_VA,25905.0,25834.25,25996.25,25814.5,181.8,BEARISH,ABOVE_VA,True,False,False,True,False,False,False,True,23720.58,BULL,20.1
2026-01-08,JUEVES,3,25681.41,25761.43,25802.82,121.4,25818.0,25597.25,220.8,25799.5,INSIDE_VA,25684.25,25683.0,25703.75,25583.75,120.0,NEUTRAL,INSIDE_VA,False,True,False,False,True,False,False,True,23742.65,BULL,19.1
