strategy,result,pnl_pts,entry,target,stop,date,weekday,wd_num,vxn,trend,ny_open_pos,pm_open_pos,va_range
BREAKOUT_VAH_LONG,WIN,57.0,24245.5,24302.5,24207.0,2025-09-15,LUNES,0,19.6,BULL,INSIDE_VA,ABOVE_VA,114.1
POC_SHORT,LOSS,46.4,24363.6,24248.4,24410.0,2025-09-16,MARTES,1,19.0,BULL,INSIDE_VA,INSIDE_VA,215.5
BREAKDOWN_VAL_SHORT,LOSS,63.9,24346.1,24238.4,24410.0,2025-09-16,MARTES,1,19.0,BULL,INSIDE_VA,INSIDE_VA,215.5
POC_LONG,LOSS,-4.6,24505.0,24536.7,24500.4,2025-09-17,MIÉRCOLES,2,18.9,BULL,INSIDE_VA,BELOW_VA,48.4
BREAKOUT_VAH_LONG,LOSS,-22.1,24545.5,24569.7,24523.4,2025-09-17,MIÉRCOLES,2,18.9,BULL,INSIDE_VA,BELOW_VA,48.4
BREAKDOWN_VAL_SHORT,LOSS,22.1,24477.1,24452.9,24499.2,2025-09-17,MIÉRCOLES,2,18.9,BULL,INSIDE_VA,BELOW_VA,48.4
POC_SHORT,LOSS,16.2,24718.5,24663.6,24734.7,2025-09-18,JUEVES,3,18.7,BULL,INSIDE_VA,ABOVE_VA,94.7
BREAKOUT_VAH_LONG,WIN,47.4,24723.2,24770.5,24689.5,2025-09-18,JUEVES,3,18.7,BULL,INSIDE_VA,ABOVE_VA,94.7
POC_SHORT,LOSS,12.3,24744.8,24697.7,24757.1,2025-09-19,VIERNES,4,20.0,MIXED,INSIDE_VA,INSIDE_VA,79.2
BREAKOUT_VAH_LONG,LOSS,-29.8,24824.5,24864.1,24794.6,2025-09-19,VIERNES,4,20.0,MIXED,INSIDE_VA,INSIDE_VA,79.2
BREAKDOWN_VAL_SHORT,LOSS,29.8,24725.2,24685.6,24755.0,2025-09-19,VIERNES,4,20.0,MIXED,INSIDE_VA,INSIDE_VA,79.2
BREAKDOWN_VAL_SHORT,WIN,-23.4,24955.8,24932.4,24977.5,2025-09-23,MARTES,1,19.9,BULL,INSIDE_VA,BELOW_VA,46.8
POC_SHORT,LOSS,37.5,24558.2,24460.8,24595.8,2025-09-25,JUEVES,3,19.3,BULL,INSIDE_VA,ABOVE_VA,180.0
BREAKOUT_VAH_LONG,LOSS,-55.0,24614.8,24704.8,24559.8,2025-09-25,JUEVES,3,19.3,BULL,INSIDE_VA,ABOVE_VA,180.0
POC_LONG,LOSS,-13.7,24605.2,24655.0,24591.5,2025-09-26,VIERNES,4,20.0,MIXED,INSIDE_VA,BELOW_VA,84.7
BREAKOUT_VAH_LONG,LOSS,-31.2,24691.8,24734.1,24660.6,2025-09-26,VIERNES,4,20.0,MIXED,INSIDE_VA,BELOW_VA,84.7
