date,weekday,direction,target_type,result,pnl_pts,entry,exit,poc,vah,val,va_range
2024-03-14,Jueves,BUY,POC,LOSS,-33.3,18131.0,18097.7,18159.3,18172.8,18131.0,41.8
2024-03-14,Jueves,BUY,VA_OPUESTO,LOSS,-33.3,18131.0,18097.7,18159.3,18172.8,18131.0,41.8
2024-03-21,Jueves,SELL,POC,LOSS,-34.0,18649.0,18682.9,18610.2,18649.0,18594.5,54.5
2024-03-21,Jueves,SELL,VA_OPUESTO,LOSS,-34.0,18649.0,18682.9,18610.2,18649.0,18594.5,54.5
2024-03-25,Lunes,BUY,POC,LOSS,-37.7,18480.4,18442.7,18546.3,18572.3,18480.4,91.8
2024-03-25,Lunes,BUY,VA_OPUESTO,LOSS,-37.7,18480.4,18442.7,18546.3,18572.3,18480.4,91.8
2024-03-26,Martes,BUY,POC,WIN,23.9,18574.3,18598.3,18598.3,18615.8,18574.3,41.5
2024-03-26,Martes,BUY,VA_OPUESTO,FLAT,6.7,18574.3,18581.0,18598.3,18615.8,18574.3,41.5
2024-03-27,Miércoles,SELL,POC,LOSS,-18.8,18536.5,18555.3,18522.0,18536.5,18499.6,37.0
2024-03-27,Miércoles,SELL,VA_OPUESTO,LOSS,-18.8,18536.5,18555.3,18522.0,18536.5,18499.6,37.0
2024-04-01,Lunes,BUY,POC,LOSS,-50.0,18533.4,18483.4,18575.4,18599.1,18533.4,65.7
2024-04-01,Lunes,BUY,VA_OPUESTO,LOSS,-50.0,18533.4,18483.4,18575.4,18599.1,18533.4,65.7
2024-04-08,Lunes,SELL,POC,WIN,30.3,18323.1,18292.9,18292.9,18323.1,18278.8,44.4
2024-04-08,Lunes,SELL,VA_OPUESTO,WIN,44.4,18323.1,18278.8,18292.9,18323.1,18278.8,44.4
2024-04-09,Martes,SELL,POC,LOSS,-45.4,18336.1,18381.5,18310.5,18336.1,18269.2,66.9
2024-04-09,Martes,SELL,VA_OPUESTO,LOSS,-45.4,18336.1,18381.5,18310.5,18336.1,18269.2,66.9
2024-04-11,Jueves,SELL,POC,LOSS,-67.6,18210.8,18278.4,18167.0,18210.8,18111.4,99.4
2024-04-11,Jueves,SELL,VA_OPUESTO,LOSS,-67.6,18210.8,18278.4,18167.0,18210.8,18111.4,99.4
2024-04-12,Viernes,BUY,POC,LOSS,-31.6,18325.3,18293.7,18419.8,18449.1,18325.3,123.8
2024-04-12,Viernes,BUY,VA_OPUESTO,LOSS,-31.6,18325.3,18293.7,18419.8,18449.1,18325.3,123.8
2024-04-15,Lunes,SELL,POC,WIN,22.0,18295.8,18273.8,18273.8,18295.8,18247.8,48.0
2024-04-15,Lunes,SELL,VA_OPUESTO,WIN,48.0,18295.8,18247.8,18273.8,18295.8,18247.8,48.0
2024-04-18,Jueves,BUY,POC,LOSS,-31.1,17685.0,17653.8,17711.8,17749.3,17685.0,64.3
2024-04-18,Jueves,BUY,VA_OPUESTO,LOSS,-31.1,17685.0,17653.8,17711.8,17749.3,17685.0,64.3
2024-04-19,Viernes,SELL,POC,WIN,32.3,17467.0,17434.7,17434.7,17467.0,17352.1,114.9
2024-04-19,Viernes,SELL,VA_OPUESTO,WIN,114.9,17467.0,17352.1,17434.7,17467.0,17352.1,114.9
2024-04-23,Martes,SELL,POC,LOSS,-20.2,17418.5,17438.7,17394.2,17418.5,17358.7,59.9
2024-04-23,Martes,SELL,VA_OPUESTO,LOSS,-20.2,17418.5,17438.7,17394.2,17418.5,17358.7,59.9
2024-04-25,Jueves,BUY,POC,LOSS,-79.7,17436.2,17356.5,17454.5,17514.6,17436.2,78.4
2024-04-25,Jueves,BUY,VA_OPUESTO,LOSS,-79.7,17436.2,17356.5,17454.5,17514.6,17436.2,78.4
2024-04-29,Lunes,SELL,POC,LOSS,-13.3,17920.5,17933.8,17906.6,17920.5,17888.5,32.0
2024-04-29,Lunes,SELL,VA_OPUESTO,LOSS,-13.3,17920.5,17933.8,17906.6,17920.5,17888.5,32.0
2024-04-30,Martes,BUY,POC,WIN,38.3,17847.0,17885.3,17885.3,17907.5,17847.0,60.5
2024-04-30,Martes,BUY,VA_OPUESTO,LOSS,-65.5,17847.0,17781.4,17885.3,17907.5,17847.0,60.5
2024-05-01,Miércoles,SELL,POC,WIN,29.2,17497.8,17468.6,17468.6,17497.8,17439.3,58.5
2024-05-01,Miércoles,SELL,VA_OPUESTO,WIN,58.5,17497.8,17439.3,17468.6,17497.8,17439.3,58.5
2024-05-07,Martes,SELL,POC,LOSS,-13.2,18189.4,18202.6,18182.2,18189.4,18165.4,24.0
2024-05-07,Martes,SELL,VA_OPUESTO,LOSS,-13.2,18189.4,18202.6,18182.2,18189.4,18165.4,24.0
2024-05-08,Miércoles,BUY,POC,WIN,60.1,18135.0,18195.1,18195.1,18216.8,18135.0,81.7
