date,val,poc,vah,va_range,open,open_pos,space_dir,space_size_pts,extreme,space_close,dist_to_poc,dist_to_va,returned_poc,returned_va,ret_poc_time,ret_va_time,ret_poc_bar,ret_va_bar,pm_hi,pm_lo,pm_close,pm_range
2026-01-08,25750.7,25774.3,25801.0,50.3,25786.0,INSIDE_VA,▼ DOWN,188.8,25597.2,25603.2,177.1,153.4,False,False,—,—,,,25713.5,25569.0,25683.0,144.5
2026-01-15,25727.3,25822.4,25949.2,221.9,25924.8,INSIDE_VA,▼ DOWN,81.8,25843.0,25864.0,20.6,106.2,True,True,10:45,10:00,9.0,0.0,25938.0,25676.5,25719.2,261.5
2026-01-22,25648.9,25694.9,25738.5,89.6,25729.0,INSIDE_VA,▼ DOWN,174.8,25554.2,25578.0,140.7,94.6,True,True,11:25,10:40,17.0,8.0,25723.5,25536.8,25663.0,186.8
2026-01-29,26141.7,26195.1,26239.7,98.0,26133.2,BELOW_VA,▼ DOWN,275.2,25858.0,25864.0,337.1,283.7,False,False,—,—,,,26020.0,25536.0,25994.2,484.0
2026-02-05,24709.6,24792.8,25021.8,312.2,24770.2,INSIDE_VA,▲ UP,190.5,24960.8,24769.2,167.9,61.0,True,True,10:00,10:00,0.0,0.0,24887.5,24543.2,24638.8,344.2
2026-02-12,25331.0,25348.8,25377.0,46.0,25346.2,INSIDE_VA,▼ DOWN,160.0,25186.2,25206.5,162.6,144.7,False,False,—,—,,,25260.2,24721.5,24762.8,538.8
2026-02-19,24799.3,24863.3,24927.3,128.0,24833.8,INSIDE_VA,▲ UP,86.2,24920.0,24881.5,56.7,7.3,True,True,10:00,10:00,0.0,0.0,24959.5,24749.0,24863.5,210.5
2026-02-26,25348.7,25368.5,25394.8,46.1,25341.2,INSIDE_VA,▼ DOWN,160.0,25181.2,25193.0,187.2,167.5,False,False,—,—,,,25210.8,24861.8,25083.2,349.0
2026-03-05,24981.0,25000.4,25107.3,126.4,24987.8,INSIDE_VA,▲ UP,200.0,25187.8,25186.0,187.3,80.4,True,True,10:25,10:15,5.0,3.0,25209.8,24772.5,25048.5,437.2
2026-03-12,24802.4,24833.0,24920.4,118.0,24775.8,BELOW_VA,▼ DOWN,145.2,24630.5,24657.8,202.5,171.9,False,False,—,—,,,24747.5,24542.8,24555.8,204.8
2026-03-19,24504.6,24579.3,24639.0,134.5,24428.8,BELOW_VA,▼ DOWN,102.0,24326.8,24504.5,252.5,177.8,True,True,11:05,10:00,13.0,0.0,24691.5,24377.8,24574.8,313.8
